ID,Name,Year,Distance,Area
467590,恆春,2004.0,4500.0,6356.0
467790,墾丁雷達站,2004.0,4500.0,0.0
C0R100,尾寮山,2004.0,4500.0,80894.78624908859
C0R130,阿禮,2004.0,4500.0,1304751.615140415
C0R140,瑪家,2004.0,4500.0,670164.8693090364
C0R150,三地門,2004.0,4500.0,41445.5
C0R160,鹽埔,2004.0,4500.0,0.0
C0R170,屏東,2004.0,4500.0,0.0
C0R190,赤山,2004.0,4500.0,0.0
C0R220,潮州,2004.0,4500.0,0.0
C0R240,來義,2004.0,4500.0,0.0
C0R260,春日,2004.0,4500.0,5752.0
C0R270,琉球嶼,2004.0,4500.0,0.0
C0R280,檳榔,2004.0,4500.0,33616.41143168238
C0R320,車城,2004.0,4500.0,1717.6344422353432
C0R341,牡丹,2004.0,4500.0,42630.0
C0R350,貓鼻頭,2004.0,4500.0,0.0
C0R440,大漢山,2004.0,4500.0,34468.0
C0R470,高樹,2004.0,4500.0,0.0
C0R480,長治,2004.0,4500.0,0.0
C0R490,九如,2004.0,4500.0,0.0
C0R510,萬丹,2004.0,4500.0,0.0
C0R520,崁頂,2004.0,4500.0,0.0
C0R530,林邊,2004.0,4500.0,0.0
C0R540,佳冬,2004.0,4500.0,0.0
C0R550,新埤,2004.0,4500.0,0.0
C0R560,新園,2004.0,4500.0,0.0
C0R570,麟洛,2004.0,4500.0,0.0
C0R580,南州,2004.0,4500.0,0.0
C0R590,里港,2004.0,4500.0,0.0
C0R600,舊泰武,2004.0,4500.0,4616.0
C0R620,墾雷,2004.0,4500.0,0.0
C0R640,東港,2004.0,4500.0,0.0
C0R650,竹田,2004.0,4500.0,0.0
C0R660,枋寮,2004.0,4500.0,0.0
C0R670,楓港,2004.0,4500.0,26909.823446141694
C0R680,佳樂水,2004.0,4500.0,5004.0
C0R690,墾丁,2004.0,4500.0,0.0
C0R700,枋山,2004.0,4500.0,4890.19562121789
C0R710,龍磐,2004.0,4500.0,0.0
C0R720,旭海,2004.0,4500.0,2552.0
C0R730,大坪頂,2004.0,4500.0,0.0
C0R740,獅子,2004.0,4500.0,31131.81224637268
C0R750,四林格山,2004.0,4500.0,31276.62980180289
C0R760,南仁湖,2004.0,4500.0,54976.0
C0R770,保力,2004.0,4500.0,21610.48420489207
C0R780,滿州,2004.0,4500.0,6204.0
C0R790,九棚,2004.0,4500.0,4380.0
C0R800,丹路,2004.0,4500.0,44189.7083937499
C0R810,內獅,2004.0,4500.0,8468.0
C0R820,白鷺,2004.0,4500.0,27672.688248448074
C0R830,高士,2004.0,4500.0,18144.87361536084
C0R840,牡丹池山,2004.0,4500.0,7654.844817572077
C1R110,口社,2004.0,4500.0,14476.0
C1R120,上德文,2004.0,4500.0,532899.1428941451
C1R250,力里,2004.0,4500.0,13411.64137043662
C1R290,石門山,2004.0,4500.0,39587.849208676824
C1R610,西大武山,2004.0,4500.0,246324.6722231917
C1R630,龍泉,2004.0,4500.0,0.0
C0R340,牡丹,2004.0,4500.0,4816.815918010066
C0R360,墾丁,2004.0,4500.0,0.0
C0R370,佳樂水,2004.0,4500.0,5004.0
C0R380,枋寮,2004.0,4500.0,0.0
C0R400,楓港,2004.0,4500.0,28471.234429072214
C0R420,牡丹池山,2004.0,4500.0,8900.0
C0R430,東港,2004.0,4500.0,0.0
C0R500,竹田,2004.0,4500.0,0.0
C1R090,里港,2004.0,4500.0,0.0
C1R130,阿禮,2004.0,4500.0,1306876.3839416346
C1R140,瑪家,2004.0,4500.0,670142.0
C1R160,新圍,2004.0,4500.0,0.0
C1R170,屏東,2004.0,4500.0,0.0
C1R190,赤山,2004.0,4500.0,0.0
C1R200,龍泉,2004.0,4500.0,0.0
C1R201,龍泉,2004.0,4500.0,0.0
C1R210,麟洛,2004.0,4500.0,0.0
C1R230,南州,2004.0,4500.0,0.0
C1R240,來義,2004.0,4500.0,0.0
C1R260,春日,2004.0,4500.0,5752.0
C1R300,旭海,2004.0,4500.0,1077.6165949806852
C1R320,車城,2004.0,4500.0,1717.6344422353432
C1R330,枋山,2004.0,4500.0,4878.952934738621
C1R340,牡丹,2004.0,4500.0,42630.0
C1R440,大漢山,2004.0,4500.0,34468.0
467590,恆春,2005.0,4500.0,0.0
467790,墾丁雷達站,2005.0,4500.0,0.0
C0R100,尾寮山,2005.0,4500.0,713244.9514172154
C0R130,阿禮,2005.0,4500.0,476358.06925647234
C0R140,瑪家,2005.0,4500.0,285052.870109024
C0R150,三地門,2005.0,4500.0,29652.983774100318
C0R160,鹽埔,2005.0,4500.0,0.0
C0R170,屏東,2005.0,4500.0,0.0
C0R190,赤山,2005.0,4500.0,0.0
C0R220,潮州,2005.0,4500.0,0.0
C0R240,來義,2005.0,4500.0,14367.03469667824
C0R260,春日,2005.0,4500.0,41329.92688570979
C0R270,琉球嶼,2005.0,4500.0,0.0
C0R280,檳榔,2005.0,4500.0,21736.92803425063
C0R320,車城,2005.0,4500.0,0.0
C0R341,牡丹,2005.0,4500.0,61024.215924248645
